x,y
0.0,1.0
5.00773e-05,0.999906
0.000200334,0.999622
0.000450916,0.99915
0.0008021,0.99849
0.00125429,0.997641
0.00180804,0.996604
0.00246399,0.99538
0.00322293,0.993968
0.00408576,0.992369
0.0050535,0.990583
0.00612727,0.988612
0.00730828,0.986455
0.00859784,0.984114
0.00999736,0.981589
0.0115083,0.978882
0.0131322,0.975991
0.0148707,0.97292
0.0167254,0.969669
0.0186979,0.966238
0.0207901,0.962629
0.0230035,0.958842
0.0253399,0.954881
0.0278011,0.950744
0.0303885,0.946434
0.033104,0.941953
0.035949,0.9373
0.038925,0.932479
0.0420334,0.927491
0.0452756,0.922336
0.0486527,0.917017
0.0521659,0.911536
0.0558161,0.905894
0.059604,0.900092
0.0635304,0.894134
0.0675957,0.888021
0.0718003,0.881754
0.0761443,0.875335
0.0806278,0.868768
0.0852505,0.862054
0.0900121,0.855194
0.0949121,0.848192
0.0999497,0.841049
0.105124,0.833768
0.110434,0.826351
0.115879,0.818801
0.121457,0.81112
0.127167,0.80331
0.133006,0.795374
0.138975,0.787315
0.14507,0.779135
0.151289,0.770838
0.157632,0.762424
0.164095,0.753898
0.170677,0.745263
0.177376,0.73652
0.184189,0.727673
0.191114,0.718725
0.19815,0.709679
0.205293,0.700538
0.212542,0.691305
0.219895,0.681983
0.22735,0.672575
0.234905,0.663084
0.242557,0.653513
0.250305,0.643866
0.258147,0.634146
0.266081,0.624357
0.274105,0.614501
0.282219,0.604582
0.290419,0.594604
0.298704,0.584569
0.307074,0.574482
0.315526,0.564345
0.324058,0.554163
0.33267,0.543939
0.34136,0.533677
0.350126,0.523379
0.358967,0.513051
0.367882,0.502695
0.376868,0.492316
0.385924,0.481917
0.39505,0.471502
0.404242,0.461074
0.413499,0.450638
0.42282,0.440198
0.432202,0.429757
0.441643,0.419319
0.451141,0.408889
0.460693,0.39847
0.470298,0.388067
0.479952,0.377683
0.489652,0.367323
0.499396,0.356991
0.50918,0.34669
0.519001,0.336426
0.528855,0.326202
0.538737,0.316023
0.548645,0.305893
0.558573,0.295817
0.568518,0.285799
0.578473,0.275842
0.588434,0.265953
0.598396,0.256136
0.608353,0.246394
0.618298,0.236733
0.628227,0.227158
0.638131,0.217673
0.648005,0.208284
0.657842,0.198995
0.667634,0.189811
0.677373,0.180738
0.687051,0.17178
0.696661,0.162944
0.706193,0.154235
0.715639,0.145657
0.72499,0.137219
0.734236,0.128924
0.743367,0.120779
0.752372,0.112792
0.761242,0.104968
0.769965,0.0973143
0.778528,0.0898384
0.782725,0.0825479
0.783236,0.075451
0.783484,0.0685561
0.783962,0.0618726
0.784193,0.0554104
0.784415,0.0491802
0.784628,0.0431939
0.784832,0.0374645
0.785025,0.0320069
0.785208,0.0268379
0.785293,0.0219768
0.785373,0.0174471
0.785446,0.013277
0.78548,0.00950296
0.785494,0.00617372
0.785506,0.00336107
0.785511,0.00118843
0.785514,0.0
0.000100171,1.0
0.000250461,0.999717
0.00050091,0.999245
0.00085149,0.998583
0.00130217,0.997732
0.00185294,0.996689
0.00250375,0.995455
0.0032546,0.994028
0.00410546,0.992406
0.0050563,0.990589
0.00610712,0.988573
0.00725791,0.986359
0.00850864,0.983942
0.00985933,0.981323
0.01131,0.978497
0.0128605,0.975463
0.0145111,0.972218
0.0162616,0.96876
0.0181121,0.965085
0.0200625,0.961193
0.022113,0.957079
0.0242635,0.952741
0.0265139,0.948177
0.0288644,0.943384
0.0313149,0.93836
0.0338654,0.933103
0.0365158,0.927612
0.0392662,0.921885
0.0421165,0.91592
0.0450666,0.909718
0.0481165,0.903277
0.051266,0.896599
0.0545151,0.889682
0.0578636,0.88253
0.0613114,0.875143
0.0648582,0.867523
0.0685039,0.859674
0.0722482,0.851598
0.0760909,0.8433
0.0800317,0.834783
0.0840702,0.826053
0.0882062,0.817114
0.0924391,0.807972
0.0967686,0.798632
0.101194,0.789101
0.105715,0.779385
0.110331,0.76949
0.115042,0.759423
0.119846,0.74919
0.124743,0.738798
0.129732,0.728253
0.134812,0.717562
0.139983,0.706732
0.145243,0.695769
0.150592,0.684679
0.156027,0.673468
0.161549,0.662144
0.167156,0.650712
0.172847,0.639178
0.178619,0.627548
0.184473,0.615828
0.190406,0.604024
0.196418,0.592141
0.202506,0.580186
0.208669,0.568164
0.214906,0.556081
0.221215,0.543942
0.227594,0.531753
0.234041,0.519519
0.240556,0.507245
0.247135,0.494938
0.253778,0.482602
0.260482,0.470242
0.267246,0.457865
0.274067,0.445473
0.280944,0.433074
0.287875,0.420671
0.294857,0.408269
0.301889,0.395873
0.308968,0.383488
0.316092,0.371119
0.323259,0.358769
0.330465,0.346442
0.337708,0.334145
0.344986,0.321879
0.35233,0.309597
0.359721,0.297359
0.367098,0.285305
0.374503,0.273401
0.381955,0.261626
0.389463,0.249973
0.397032,0.238438
0.404661,0.22702
0.41235,0.215718
0.420096,0.204533
0.427897,0.193466
0.43575,0.182519
0.443653,0.171693
0.4516,0.16099
0.45959,0.150411
0.467618,0.139958
0.475679,0.129633
0.483769,0.119437
0.491884,0.109373
0.500018,0.0994432
0.508166,0.0896495
0.516323,0.0799944
0.524482,0.0704805
0.532637,0.0611103
0.540783,0.0518868
0.548911,0.0428129
0.557016,0.0338917
0.565089,0.0251264
0.573122,0.0165205
0.581096,0.00809278
0.588804,0.0
0.0004008,1.0
0.000651627,0.999529
0.00100274,0.998869
0.00145411,0.99802
0.00200571,0.99698
0.00265753,0.995748
0.00340954,0.994324
0.00426173,0.992707
0.00521408,0.990893
0.00626658,0.988883
0.00741923,0.986674
0.00867202,0.984264
0.010025,0.981651
0.011478,0.978832
0.0130313,0.975806
0.0146847,0.972569
0.0164383,0.96912
0.0182922,0.965456
0.0202462,0.961574
0.0223006,0.957471
0.0244552,0.953145
0.0267101,0.948594
0.0290653,0.943815
0.0315208,0.938806
0.0340767,0.933565
0.0367328,0.92809
0.0394893,0.92238
0.042346,0.916434
0.045303,0.91025
0.0483601,0.90383
0.0515172,0.897172
0.0547743,0.890278
0.0581313,0.883149
0.061588,0.875785
0.0651441,0.86819
0.0687997,0.860367
0.0725543,0.852317
0.0764077,0.844046
0.0803597,0.835557
0.0844099,0.826856
0.0885579,0.817946
0.0928034,0.808833
0.097146,0.799524
0.101585,0.790023
0.10612,0.780338
0.11075,0.770474
0.115476,0.760438
0.120295,0.750237
0.125207,0.739876
0.130212,0.729363
0.135309,0.718704
0.140496,0.707906
0.145773,0.696974
0.151139,0.685916
0.156593,0.674737
0.162132,0.663444
0.167757,0.652042
0.173466,0.640539
0.179258,0.62894
0.185131,0.61725
0.191083,0.605476
0.197114,0.593623
0.203222,0.581697
0.209405,0.569704
0.215662,0.557649
0.221992,0.545538
0.228391,0.533377
0.23486,0.52117
0.241395,0.508923
0.247996,0.496642
0.254661,0.484331
0.261387,0.471996
0.268173,0.459643
0.275017,0.447275
0.281916,0.434899
0.28887,0.422518
0.295876,0.410138
0.302931,0.397764
0.310034,0.385399
0.317182,0.373049
0.324373,0.360718
0.331604,0.34841
0.338872,0.336129
0.346176,0.323881
0.353539,0.31161
0.360932,0.299356
0.368291,0.287249
0.375663,0.275262
0.383072,0.263389
0.390531,0.251629
0.398047,0.239984
0.40562,0.228454
0.413251,0.217042
0.420939,0.20575
0.428681,0.194578
0.436474,0.183528
0.444316,0.172602
0.452204,0.161802
0.460132,0.151129
0.468099,0.140585
0.476099,0.130171
0.484129,0.11989
0.492183,0.109744
0.500256,0.0997339
0.508344,0.0898632
0.51644,0.0801338
0.52454,0.0705483
0.532637,0.0611094
0.540724,0.0518197
0.548794,0.0426823
0.556842,0.0337001
0.564859,0.0248764
0.572837,0.0162147
0.580756,0.00773337
0.588025,0.0
0.000902314,1.0
0.0012543,0.999343
0.00170681,0.998497
0.00225981,0.997461
0.00291329,0.996234
0.00366723,0.994816
0.00452163,0.993205
0.00547647,0.991399
0.00653176,0.989397
0.00768749,0.987197
0.00894368,0.984796
0.0103003,0.982194
0.0117575,0.979387
0.0133151,0.976374
0.0149733,0.973152
0.0167321,0.969718
0.0185915,0.966069
